兴趣小队项目开发日志（UTF-8）
仓库：https://github.com/OldGuestInBreeze/-1
范围：2026-09-08 14:49:38 至 2026-09-17 23:31:38，北京时间 UTC+8
总计：52 条提交；合并 2 条；默认分支 26 条；其他分支独有 26 条
采集：2026-09-17 23:52:39（UTC+8）
口径：时间为 Git CommitDate，不是实际上传时间；变更摘要不代表测试或验收通过。
文件状态：A 新增；M 修改；D 删除；R 重命名。合并记录不重复展开文件变更。

========================================================================
2026-09-08 | 工程初始化与账号基础 | 11 条
从模块权限开始搭建 HarmonyOS 客户端，完成登录界面、主导航、通用网络与提示工具、认证接口及注册流程的提交；期间合并 PR #1。

[2026-09-08 14:49:38 +08:00] 配置应用模块与权限
提交：049c2a73dafc893fe41be5bb8759fe8cbe188149
原始标题：Add HarmonyOS module permissions
作者：Devin AI | 提交者：Devin AI
AuthorDate：2026-09-08T06:49:38Z | CommitDate：2026-09-08T06:49:38Z
版本范围：默认分支
内容：提交应用模块声明，配置网络、模糊定位和精确定位权限，以及入口与备份能力。
链接：https://github.com/OldGuestInBreeze/-1/commit/049c2a73dafc893fe41be5bb8759fe8cbe188149
所在分支：devin/1788850116-add-module-permissions；devin/1788852083.32064-harmony-login-main-ui；devin/1788853038-safe-area-layout；devin/1789022641-fix-created-event-crash；devin/1789659075-defense-downloads
文件变更：1 项
  A	module.json5

[2026-09-08 15:25:38 +08:00] 搭建 HarmonyOS 客户端工程
提交：4a1ce451aa3faea2f9cd6a3cd7ee6994189c7875
原始标题：Add HarmonyOS login and main navigation UI
作者：Devin AI | 提交者：Devin AI
AuthorDate：2026-09-08T07:25:38Z | CommitDate：2026-09-08T07:25:38Z
版本范围：默认分支
内容：加入工程配置、登录页、主页面、界面资源与测试模板，形成客户端初始结构。
链接：https://github.com/OldGuestInBreeze/-1/commit/4a1ce451aa3faea2f9cd6a3cd7ee6994189c7875
所在分支：devin/1788850116-add-module-permissions；devin/1788852083.32064-harmony-login-main-ui；devin/1788853038-safe-area-layout；devin/1789022641-fix-created-event-crash；devin/1789659075-defense-downloads
文件变更：116 项
  A	.gitignore
  A	AppScope/app.json5
  A	AppScope/resources/base/element/string.json
  A	AppScope/resources/base/media/background.png
  A	AppScope/resources/base/media/foreground.png
  A	AppScope/resources/base/media/layered_image.json
  A	build-profile.json5
  A	code-linter.json5
  A	entry/.gitignore
  A	entry/build-profile.json5
  A	entry/hvigorfile.ts
  A	entry/obfuscation-rules.txt
  A	entry/oh-package.json5
  A	entry/src/main/ets/entryability/EntryAbility.ets
  A	entry/src/main/ets/entrybackupability/EntryBackupAbility.ets
  A	entry/src/main/ets/pages/Index.ets
  A	entry/src/main/ets/pages/LoginPage.ets
  R099	module.json5 -> entry/src/main/module.json5
  A	entry/src/main/resources/base/element/color.json
  A	entry/src/main/resources/base/element/float.json
  A	entry/src/main/resources/base/element/string.json
  A	entry/src/main/resources/base/media/background.png
  A	entry/src/main/resources/base/media/bg_eventinfo.png
  A	entry/src/main/resources/base/media/bg_header.jpg
  A	entry/src/main/resources/base/media/bg_home.png
  A	entry/src/main/resources/base/media/bg_login.jpg
  A	entry/src/main/resources/base/media/bg_personal.png
  A	entry/src/main/resources/base/media/bg_userinfo.png
  A	entry/src/main/resources/base/media/comment.png
  A	entry/src/main/resources/base/media/event_describe.png
